[2026-03-08 00:24:39] 頭洗立倒 (1312095866324123701) | 離開語音：一般 | 頻道: 一般
[2026-03-08 00:24:31] 布丁上的焦糖 (1321061361584832578) | 離開語音：一般 | 頻道: 一般
[2026-03-08 00:23:23] 薯泥起司蛋餅 (1358396241440149675) | 離開語音：一般 | 頻道: 一般
[2026-03-08 00:22:37] カナ (1234077475173306439) | 離開語音：一般 | 頻道: 一般
[2026-03-08 00:21:13] ORex (868361854748074065) | 離開語音：一般 | 頻道: 一般
[2026-03-08 00:16:10] 頭洗立倒 (1312095866324123701) | 加入語音：一般 | 頻道: 一般
[2026-03-08 00:15:59] Deemo滴某 (763033832227078176) | 離開語音：一般 | 頻道: 一般
[2026-03-08 00:15:52] 暮靄（叫我暮） (665170783181733898) | 離開語音：一般 | 頻道: 一般
[2026-03-08 00:08:01] Deemo滴某 (763033832227078176) | 加入語音：一般 | 頻道: 一般
[2026-03-08 00:07:33] Deemo滴某 (763033832227078176) | 離開語音：一般 | 頻道: 一般
[2026-03-08 00:03:48] カナ (1234077475173306439) | 加入語音：一般 | 頻道: 一般
[2026-03-08 00:03:46] カナ (1234077475173306439) | 離開語音：一般 | 頻道: 一般
[2026-03-08 00:03:26] Koyori (1012317304522018836) | 離開語音：一般 | 頻道: 一般
[2026-03-07 23:52:37] 劉小冉 (1150057606078025828) | 離開語音：一般 | 頻道: 一般
[2026-03-07 23:47:49] カナ (1234077475173306439) | 加入語音：一般 | 頻道: 一般
[2026-03-07 23:18:23] 劉小冉 (1150057606078025828) | 加入語音：一般 | 頻道: 一般
[2026-03-07 23:13:13] 耳邑 (1100057980780675122) | 離開語音：一般 | 頻道: 一般
[2026-03-07 23:07:37] Koyori (1012317304522018836) | 加入語音：一般 | 頻道: 一般
[2026-03-07 22:57:09] カナ (1234077475173306439) | 離開語音：一般 | 頻道: 一般
[2026-03-07 22:42:58] カナ (1234077475173306439) | 加入語音：一般 | 頻道: 一般
[2026-03-07 22:39:57] カナ (1234077475173306439) | 離開語音：一般 | 頻道: 一般
[2026-03-07 22:35:18] カナ (1234077475173306439) | 加入語音：一般 | 頻道: 一般
[2026-03-07 22:31:18] カナ (1234077475173306439) | 離開語音：一般 | 頻道: 一般
[2026-03-07 22:29:44] 薯泥起司蛋餅 (1358396241440149675) | 加入語音：一般 | 頻道: 一般
[2026-03-07 22:18:47] ORex (868361854748074065) | 加入語音：一般 | 頻道: 一般
[2026-03-07 22:10:38] Deemo滴某 (763033832227078176) | 加入語音：一般 | 頻道: 一般
[2026-03-07 22:05:02] 你有咩病啊🐔🐔🐔 (1447738287354810512) | 離開語音：一般 | 頻道: 一般
[2026-03-07 22:01:46] 耳邑 (1100057980780675122) | 加入語音：一般 | 頻道: 一般
[2026-03-07 22:01:07] 耳邑 (1100057980780675122) | 離開語音：一般 | 頻道: 一般
[2026-03-07 22:00:00] 你有咩病啊🐔🐔🐔 (1447738287354810512) | 加入語音：一般 | 頻道: 一般
[2026-03-07 21:59:58] 長劇字 (1121342901348212776) | 離開語音：一般 | 頻道: 一般
[2026-03-07 21:57:30] 長劇字 (1121342901348212776) | 加入語音：一般 | 頻道: 一般
[2026-03-07 21:52:03] 暮靄（叫我暮） (665170783181733898) | 加入語音：一般 | 頻道: 一般
[2026-03-07 21:32:20] カナ (1234077475173306439) | 加入語音：一般 | 頻道: 一般
[2026-03-07 21:31:42] 耳邑 (1100057980780675122) | 加入語音：一般 | 頻道: 一般
[2026-03-06 03:03:50] DeemoEvan (763033832227078176) | 離開語音：一般 | 頻道: 一般
[2026-03-06 03:03:48] DeemoEvan (763033832227078176) | 加入語音：一般 | 頻道: 一般
